,concept_code,concept_id
444,OMOP507152,43208834
445,OMOP1148181,35414596
446,OMOP506910,43219807
447,N0000186399,43527493
448,N0000187502,43561221
449,N0000190374,44815207
450,N0000185926,43014494
451,N0000187403,43561122
452,N0000187628,43561347
453,MMR VAR#2VIS,2000137488
454,MMR #1RTE,2000137452
455,N0000187658,43561377
456,N0000186847,43527811
457,N0000187998,43561717
458,505001000000109,44802789
459,147673002,3099393
460,64681,45213010
461,OMOP2727991,42715919
462,OMOP499022,43151616
463,OMOP1106431,44111800
464,"MMR, VARIVAX",2000087312
465,2603509,779898
466,OMOP1144096,35410511
467,346512,590676
468,OMOP2725130,42714535
469,OMOP955929,43675949
470,OMOP707909,43859169
471,OMOP717887,43809964
472,353499,594250
473,350964,19097994
474,OMOP3110132,36259257
475,OMOP717908,43719907
476,OMOP1148220,35414635
477,419550004,3184006
478,11473911000001105,46090455
479,376994001,3152991
480,440075005,3168028
481,OMOP991334,36896194
482,N0000185167,42874452
483,N0000187333,43561052
484,N0000188108,43561827
485,N0000186805,43527769
486,N0000189116,44786054
487,3280034f-4834-47f3-90a0-b4fade13268f,36093627
488,N0000190346,44815235
489,N0000187997,43561716
490,N0000190347,44815144
491,N0000189852,44815020
492,N0000186819,43527783
493,N0000185436,42900693
494,90707,2213466
495,N0000190303,44815112
496,N0000188729,44507145
497,MMR #1SITE,2000137453
498,dae3d1ef-3b78-4b50-840b-a2961e873ca2,42884111
499,N0000189075,44786013
500,959021000168108,2969964
501,N0000187755,43561474
502,149286,45951565
503,bf3bbec4-f9e0-5a2d-e053-2a95a90ab153,35501899
504,OMOP113029,44531046
505,OMOP113030,44531047
506,6450500,44957263
507,6406147,45059690
508,6468200,45161611
509,OMOP707979,43643107
510,524999,44569852
511,"Varicella, MMR",2000097616
512,OMOP955967,43657797
513,OMOP3115799,36264924
514,OMOP3108128,36257253
515,OMOP989935,36891631
516,OMOP1145833,35412248
517,OMOP707913,43714924
518,OMOP707920,43643102
519,OMOP707935,43661232
520,OMOP719184,43828119
521,OMOP1142422,35408837
522,OMOP4777827,36789581
523,OMOP499016,43151615
524,OMOP707905,43606942
525,OMOP1076140,44081509
526,871817003,3656215
527,9e3ca1fd-a97f-403f-a789-6548256fe7bb,37494425
528,105024,45953284
529,MMR VAR 2EXP,2000137472
530,N0000187444,43561163
531,N0000190429,44815198
532,N0000188857,44507273
533,Y42  G,45525731
534,N0000186371,43527465
535,N0000187558,43561277
536,689011000168108,2982839
537,N0000185239,42874524
538,MMR BOOST ST,2000137470
539,N0000189060,44785998
540,99.48,36904326
541,N0000189657,44814888
542,51407020,37786429
543,147606009,40314470
544,OMOP2009867,40811905
545,6468101,45144477
546,209036,40064423
547,.MMR * (M-M-R II),2000072736
548,"MMR # 1,",2000106048
549,805494,19131901
550,OMOP1053105,44058474
551,OMOP707938,43697003
552,OMOP507157,43208836
553,OMOP955911,43693671
554,OMOP3095520,36403478
555,OMOP1143356,35409771
556,OMOP558360,43264036
557,OMOP193190,44616701
558,OMOP1127149,44132518
559,2251000221101,3656324
560,N0000187390,43561109
561,99cd2b05-e5ba-4dcd-bede-efa6acbb6e81,45794070
562,N0000191538,46234584
563,N0000189768,44815678
564,N0000187684,43561403
565,N0000187878,43561597
566,N0000188802,44507218
567,N0000188109,43561828
568,d2ae2784-e6c7-47f6-984a-9c561633cca7,35504245
569,N0000181905,40232954
570,N0000188053,43561772
571,N0000151138,42860312
572,N0000187503,43561222
573,ZV04200,45478225
574,09a3f8c9-0b00-4739-a04f-4ade3ce97761,46308984
575,871909005,3656278
576,64171,46244997
577,500901860,35504868
578,6417101,46330274
579,6468100,44889374
580,1658028,46275152
581,MMR # 1,2000106047
582,MMR # 2,2000106049
583,ProQuad (MMRV),2000093101
584,346514,40065978
585,OMOP3124565,36273690
586,OMOP740575,43626502
587,OMOP1035914,44041283
588,1658000,46275135
589,562382,40117708
590,OMOP719195,43756059
591,54573008,3077075
592,14015211000001108,45964798
593,342211000009101,42572818
594,OMOP1127410,44132779
595,4621411000001108,21319122
596,N0000181906,40232905
597,MMR #2SITE,2000137461
598,N0000188816,44507232
599,99.48,2008334
600,N0000187712,43561431
601,N0000187811,43561530
602,140f184d-dc97-40f7-96fe-a0e847ca1583,37290881
603,N0000187530,43561249
604,N0000186391,43527485
605,18c4361e-8683-4518-a1f8-6efc181988f1,36371938
606,N0000183139,40242975
607,N0000189059,44785997
608,162349,45937887
609,N0000188093,43561812
610,65A2.00,45508691
611,5-685.42,42745866
612,5-685.40,42762910
613,1099351000000106,36685565
614,170431005,4015131
615,147682008,3099402
616,OMOP475668,43193029
617,148507007,40310285
618,OMOP719188,43648261
619,OMOP3098641,36406599
620,OMOP2435050,41237088
621,OMOP173280,44556545
622,OMOP707908,43661230
623,OMOP1127428,44132797
624,OMOP475662,43138012
625,OMOP135548,44604062
626,OMOP490338,43205643
627,OMOP719163,43791876
628,440075005,4233436
629,OMOP740569,43698683
630,2603508,780283
631,OMOP1127282,44132651
632,N0000185180,42874465
633,MMR #1 VIS,2000137447
634,31c83182-a5bc-4c42-a540-119db926d298,36322170
635,99.45,36913747
636,N0000187460,43561179
637,N0000189033,44785971
638,0a9e384f-e717-436b-b9a0-15e53cef0862,45619908
639,N0000186409,43527503
640,689411000168101,2969973
641,MMR #2LOT,2000137458
642,706361000168105,2900896
643,N0000185165,42874450
644,N0000186791,43527755
645,2603499,779890
646,235574,590675
647,6401300,45195745
648,OMOP3126921,36276046
649,OMOP707934,43841043
650,105841000119101,37108575
651,OMOP1127263,44132632
652,OMOP719196,43846151
653,OMOP225524,44627579
654,OMOP558362,43296609
655,OMOP1148241,35414656
656,316231,40065969
657,OMOP717904,43774016
658,9895811000001107,45959889
659,2241000221103,3656323
660,N0000189172,44786110
661,N0000190359,44815301
662,N0000190142,44815124
663,N0000189866,44815685
664,N0000188731,44507147
665,N0000187810,43561529
666,N0000188121,43561840
667,N0000189088,44786026
668,N0000186407,43527501
669,N0000187726,43561445
670,N0000188164,43561883
671,1099361000000109,36685566
672,N0000187670,43561389
673,N0000189061,44785999
674,67IR500,45435509
675,OMOP707902,43768866
676,OMOP707923,43804825
677,OMOP558371,43264037
678,OMOP4703827,40753443
679,419771007,4304710
680,871831003,3656225
681,339831000009100,42598799
682,54573008,4184464
683,OMOP175865,44657748
684,N0000188831,44507247
685,N0000190389,44815153
686,N0000187462,43561181
687,N0000187825,43561544
688,N0000187490,43561209
689,MMR VAR#2LOT,2000137484
690,11474211000001103,21216823
691,45938,35807426
692,N0000185435,42900692
693,N0000190331,44815252
694,N0000189576,44814816
695,N0000187402,43561121
696,N0000186373,43527467
697,9ki1.00,45429669
698,1658003,46275137
699,MMR #1,2000106050
700,OMOP1148199,35414614
701,OMOP162576,44555730
702,805491,40153888
703,2603513,779902
704,804185,40153142
705,OMOP225522,44602228
706,OMOP506913,43208807
707,OMOP2059468,40861506
708,OMOP507154,43186935
709,34924711000001102,42533556
710,N0000189796,44814762
711,N0000187742,43561461
712,N0000189851,44814884
713,9636,574688
714,N0000186820,43527784
715,90708,2213467
716,159702,45930688
717,N0000188052,43561771
718,689001000168105,2969974
719,N0000185195,42874480
720,N0000189908,44815690
721,N0000188012,43561731
722,J07BD,21601341
723,N0000184419,42704776
724,3,40213183
725,N0000187754,43561473
726,N0000188858,44507274
727,N0000189894,44814882
728,170363000,40335695
729,63479061501,35500523
730,OMOP955968,43747505
731,4017978,1599402
732,OMOP707918,43822937
733,OMOP3114308,36263433
734,OMOP719173,43594116
735,OMOP719242,43846155
736,OMOP719238,43738124
737,OMOP707972,43606947
738,OMOP499019,43162787
739,OMOP475663,43138013
740,OMOP149976,44672945
741,OMOP4718370,40739311
742,OMOP707904,43750902
743,OMOP989889,36886593
744,OMOP1148191,35414606
745,87939007,3164447
746,OMOP507065,43197968
747,N0000187374,43561093
